=== Log do EVRP - Instância Modificatification of E-n23-k3 instance. Modified by Mavrovouniotis Menelaou. ===
Clientes: 22
Veículos mínimos: 3

=== Histórico de Melhores Distâncias ===
Geração 566: 618.67
Geração 567: 618.67
Geração 568: 618.67
Geração 569: 618.67
Geração 570: 618.67
Geração 571: 618.67
Geração 572: 618.67
Geração 573: 618.67
Geração 574: 618.67
Geração 575: 618.67
Geração 576: 618.67
Geração 577: 618.67
Geração 578: 618.67
Geração 579: 618.67
Geração 580: 618.67
Geração 581: 618.67
Geração 582: 618.67
Geração 583: 618.67
Geração 584: 618.67
Geração 585: 618.67
Geração 586: 618.67
Geração 587: 618.67
Geração 588: 618.67
Geração 589: 618.67
Geração 590: 618.67
Geração 591: 618.67
Geração 592: 618.67
Geração 593: 618.67
Geração 594: 618.67
Geração 595: 618.67
Geração 596: 618.67
Geração 597: 618.67
Geração 598: 618.67
Geração 599: 618.67
Geração 600: 618.67
Geração 601: 618.67
Geração 602: 618.67
Geração 603: 618.67
Geração 604: 618.67
Geração 605: 618.67
Geração 606: 618.67
Geração 607: 618.67
Geração 608: 618.67
Geração 609: 618.67
Geração 610: 618.67
Geração 611: 618.67
Geração 612: 618.67
Geração 613: 618.67
Geração 614: 618.67
Geração 615: 618.67
Geração 616: 618.67
Geração 617: 618.67
Geração 618: 618.67
Geração 619: 618.67
Geração 620: 618.67
Geração 621: 618.67
Geração 622: 618.67
Geração 623: 618.67
Geração 624: 618.67
Geração 625: 618.67
Geração 626: 618.67
Geração 627: 618.67
Geração 628: 618.67
Geração 629: 618.67
Geração 630: 618.67
Geração 631: 618.67
Geração 632: 618.67
Geração 633: 618.67
Geração 634: 618.67
Geração 635: 618.67
Geração 636: 618.67
Geração 637: 618.67
Geração 638: 618.67
Geração 639: 618.67
Geração 640: 618.67
Geração 641: 618.67
Geração 642: 618.67
Geração 643: 618.67
Geração 644: 618.67
Geração 645: 618.67
Geração 646: 618.67
Geração 647: 618.67
Geração 648: 618.67
Geração 649: 618.67
Geração 650: 618.67
Geração 651: 618.67
Geração 652: 618.67
Geração 653: 618.67
Geração 654: 618.67
Geração 655: 618.67
Geração 656: 618.67
Geração 657: 618.67
Geração 658: 618.67
Geração 659: 618.67
Geração 660: 618.67
Geração 661: 618.67
Geração 662: 618.67
Geração 663: 618.67
Geração 664: 618.67
Geração 665: 618.67
Geração 666: 618.67
Geração 667: 618.67
Geração 668: 618.67
Geração 669: 618.67
Geração 670: 618.67
Geração 671: 618.67
Geração 672: 618.67
Geração 673: 618.67
Geração 674: 618.67
Geração 675: 618.67
Geração 676: 618.67
Geração 677: 618.67
Geração 678: 618.67
Geração 679: 618.67
Geração 680: 618.67
Geração 681: 618.67
Geração 682: 618.67
Geração 683: 618.67
Geração 684: 618.67
Geração 685: 618.67
Geração 686: 618.67
Geração 687: 618.67
Geração 688: 618.67
Geração 689: 618.67
Geração 690: 618.67
Geração 691: 618.67
Geração 692: 618.67
Geração 693: 618.67
Geração 694: 618.67
Geração 695: 618.67
Geração 696: 618.67
Geração 697: 618.67
Geração 698: 618.67
Geração 699: 618.67
Geração 700: 618.67
Geração 701: 618.67
Geração 702: 618.67
Geração 703: 618.67
Geração 704: 618.67
Geração 705: 618.67
Geração 706: 618.67
Geração 707: 618.67
Geração 708: 618.67
Geração 709: 618.67
Geração 710: 618.67
Geração 711: 618.67
Geração 712: 618.67
Geração 713: 618.67
Geração 714: 618.67
Geração 715: 618.67
Geração 716: 618.67
Geração 717: 618.67
Geração 718: 618.67
Geração 719: 618.67
Geração 720: 618.67
Geração 721: 618.67
Geração 722: 618.67
Geração 723: 618.67
Geração 724: 618.67
Geração 725: 618.67
Geração 726: 618.67
Geração 727: 618.67
Geração 728: 618.67
Geração 729: 618.67
Geração 730: 618.67
Geração 731: 618.67
Geração 732: 618.67
Geração 733: 618.67
Geração 734: 618.67
Geração 735: 618.67
Geração 736: 618.67
Geração 737: 618.67
Geração 738: 618.67
Geração 739: 618.67
Geração 740: 618.67
Geração 741: 618.67
Geração 742: 618.67
Geração 743: 618.67
Geração 744: 618.67
Geração 745: 618.67
Geração 746: 618.67
Geração 747: 618.67
Geração 748: 618.67
Geração 749: 618.67
Geração 750: 618.67
Geração 751: 618.67
Geração 752: 618.67
Geração 753: 618.67
Geração 754: 618.67
Geração 755: 618.67
Geração 756: 618.67
Geração 757: 618.67
Geração 758: 618.67
Geração 759: 618.67
Geração 760: 618.67
Geração 761: 618.67
Geração 762: 618.67
Geração 763: 618.67
Geração 764: 618.67
Geração 765: 618.67
Geração 766: 618.67
Geração 767: 618.67
Geração 768: 618.67
Geração 769: 618.67
Geração 770: 618.67
Geração 771: 618.67
Geração 772: 618.67
Geração 773: 618.67
Geração 774: 618.67
Geração 775: 618.67
